SC_0.8_mean,SC_0.9_mean,SC_0.95_mean,SC_1_mean,SC_0.8_var,SC_0.9_var,SC_0.95_var,SC_1_var
11.9,18.4,22.0,29.0,101.87777777777778,152.26666666666662,160.22222222222223,185.1111111111111
15.4,22.8,27.1,33.4,187.82222222222222,187.2888888888889,234.54444444444445,219.60000000000002
13.6,20.6,23.4,28.8,129.60000000000002,170.9333333333333,148.26666666666665,182.84444444444443
22.1,27.4,29.2,35.8,105.87777777777778,138.4888888888889,159.73333333333335,182.84444444444443
13.3,21.5,25.8,31.6,59.56666666666667,75.38888888888889,85.95555555555555,150.7111111111111
13.2,19.3,22.1,27.5,130.84444444444443,113.34444444444443,109.65555555555554,102.94444444444444
10.5,14.7,17.8,23.0,42.5,45.56666666666667,48.84444444444445,43.55555555555556
22.0,28.9,31.2,37.6,329.3333333333333,297.21111111111105,278.4,282.9333333333333
14.2,23.8,27.0,32.7,66.84444444444445,88.84444444444443,86.0,72.89999999999999
13.6,21.3,23.8,29.9,120.26666666666665,134.23333333333335,144.84444444444443,176.54444444444442
13.8,19.7,22.3,26.9,54.84444444444445,80.45555555555552,82.45555555555558,77.43333333333334
12.5,18.1,21.6,27.0,88.94444444444443,75.65555555555554,77.37777777777778,105.55555555555556
8.5,14.2,17.2,24.6,20.499999999999996,34.84444444444445,34.4,49.15555555555556
21.9,33.2,37.3,43.6,257.21111111111105,327.2888888888889,366.0111111111112,385.82222222222225
10.0,18.0,21.1,27.8,36.666666666666664,33.111111111111114,26.54444444444444,29.28888888888889
13.6,18.1,20.7,28.0,106.48888888888887,96.32222222222222,98.23333333333332,117.33333333333333
14.1,21.1,25.3,32.1,83.65555555555557,92.32222222222222,89.34444444444445,108.54444444444444
12.0,18.1,20.9,26.9,55.77777777777777,59.21111111111111,64.76666666666667,74.54444444444442
12.9,16.6,19.9,24.2,63.43333333333333,71.15555555555555,77.21111111111111,71.5111111111111
8.6,14.1,17.3,21.9,30.711111111111116,40.98888888888889,58.455555555555556,70.98888888888888
17.6,22.6,25.7,29.7,134.26666666666665,128.04444444444445,131.56666666666666,125.34444444444446
7.9,16.3,18.1,23.8,21.87777777777778,49.344444444444434,49.211111111111116,70.39999999999998
16.0,22.6,26.3,31.2,79.33333333333333,104.48888888888888,130.23333333333332,143.73333333333335
14.9,22.3,24.9,31.6,225.87777777777782,273.5666666666667,259.43333333333334,243.37777777777785
12.4,17.2,21.6,26.9,114.71111111111112,112.4,119.15555555555557,166.9888888888889
14.3,20.8,24.5,32.0,151.12222222222223,142.84444444444443,142.94444444444446,123.77777777777776
10.8,19.7,22.0,28.7,49.28888888888889,180.6777777777778,179.11111111111114,196.67777777777775
17.4,22.3,25.2,30.2,216.04444444444445,180.01111111111112,186.39999999999998,176.17777777777775
14.4,22.2,24.4,30.7,116.26666666666668,186.1777777777778,152.7111111111111,174.67777777777775
6.4,15.7,18.5,25.1,11.377777777777778,54.01111111111111,41.833333333333336,58.322222222222244
11.3,16.3,20.1,25.5,58.455555555555556,68.01111111111112,76.1,65.61111111111111
21.5,25.6,29.4,36.2,231.16666666666666,194.48888888888894,206.7111111111111,231.06666666666672
13.6,19.9,23.8,30.4,171.15555555555554,196.98888888888882,183.0666666666667,184.48888888888885
11.4,20.4,23.9,28.9,163.37777777777777,205.15555555555557,243.43333333333325,223.2111111111111
14.9,22.3,26.4,31.8,86.76666666666667,86.45555555555556,109.59999999999998,132.6222222222222
13.5,21.0,24.0,29.8,80.5,144.66666666666666,134.44444444444446,135.06666666666666
12.3,18.0,21.6,26.4,121.56666666666663,123.11111111111111,117.82222222222221,120.04444444444445
12.8,18.1,21.0,26.8,76.17777777777779,69.87777777777778,69.77777777777777,89.06666666666666
15.6,22.8,27.9,32.4,105.6,97.06666666666666,127.8777777777778,127.82222222222221
9.7,19.3,22.9,29.0,74.89999999999999,160.0111111111111,174.54444444444445,158.66666666666666
18.0,23.5,27.1,35.0,162.66666666666666,204.05555555555554,202.3222222222222,204.66666666666666
11.3,17.5,20.4,28.8,59.78888888888889,69.38888888888889,48.044444444444444,118.39999999999999
18.0,23.3,26.2,31.2,113.55555555555556,94.9,117.28888888888893,104.1777777777778
14.9,19.1,23.1,29.4,52.76666666666668,49.87777777777778,67.21111111111112,83.37777777777777
15.5,21.9,25.2,30.5,154.05555555555554,189.43333333333334,190.84444444444443,194.94444444444443
13.2,18.6,22.0,26.0,52.62222222222223,42.93333333333332,35.99999999999999,31.555555555555557
13.4,20.9,23.9,30.5,105.82222222222224,211.65555555555557,207.4333333333333,273.3888888888889
10.6,15.0,19.8,26.7,115.15555555555554,103.33333333333334,106.84444444444448,83.34444444444446
11.5,17.4,20.8,25.6,58.72222222222222,51.15555555555555,71.2888888888889,68.4888888888889
10.6,15.9,19.7,23.8,34.26666666666666,42.099999999999994,32.67777777777778,35.51111111111111
12.1,17.1,20.4,25.6,80.54444444444444,98.54444444444442,104.26666666666668,94.4888888888889
15.3,22.4,25.7,31.0,88.0111111111111,83.37777777777778,85.12222222222222,63.1111111111111
13.2,18.2,22.1,28.1,40.84444444444445,57.28888888888889,43.87777777777777,52.1
10.9,19.1,21.3,28.1,17.877777777777776,37.65555555555554,42.011111111111106,38.544444444444444
11.3,16.2,19.0,23.5,66.01111111111112,78.17777777777776,99.55555555555556,146.94444444444446
