,NG sim,subject,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
322,22,2121,212,1232,1333,1348,1348,1348
323,23,2121,104,364,390,1215,1215,1215
324,24,2121,274,3573,3869,4066,4066,4066
325,25,2121,186,997,1076,1153,1153,1153
326,26,2121,159,2194,2537,9165,9165,9165
327,27,2121,95,198,273,369,369,369
328,28,2121,670,950,969,1025,1025,1025
329,29,2121,146,184,191,661,661,661
330,30,2121,182,210,293,415,415,415
331,31,2121,85,138,426,470,470,470
332,32,2121,533,584,754,934,934,934
333,33,2121,144,220,294,443,443,443
334,34,2121,375,604,742,776,776,776
335,35,2121,321,364,442,467,467,467
336,36,2121,367,532,809,1043,1043,1043
337,37,2121,287,444,624,751,751,751
338,38,2121,149,277,6310,6735,6735,6735
339,39,2121,382,441,500,577,577,577
340,40,2121,556,645,658,773,773,773
341,41,2121,190,301,334,369,369,369
342,42,2121,434,1537,1995,2115,2115,2115
343,43,2121,236,697,1032,1077,1077,1077
344,44,2121,68,315,551,662,662,662
345,45,2121,455,1799,2430,2485,2485,2485
346,46,2121,729,1122,1174,1379,1379,1379
347,47,2121,62,169,266,312,312,312
348,48,2121,102,3143,3499,3535,3535,3535
349,49,2121,241,474,518,533,533,533
350,50,2121,1130,1189,1278,1537,1537,1537
351,51,2121,61,158,173,244,244,244
352,52,2121,2258,3787,3958,4213,4213,4213
353,53,2121,105,750,845,868,868,868
354,54,2121,105,172,271,295,295,295
355,55,2121,1025,1137,1285,1343,1343,1343
356,56,2121,130,275,408,458,458,458
357,57,2121,105,4065,4136,4350,4350,4350
358,58,2121,55,158,198,319,319,319
359,59,2121,622,742,769,962,962,962
360,60,2121,724,830,852,973,973,973
361,61,2121,66,108,256,299,299,299
362,62,2121,260,588,608,772,772,772
363,63,2121,195,285,1018,1021,1021,1021
364,64,2121,57,133,264,648,648,648
365,65,2121,950,2564,2665,2739,2739,2739
366,66,2121,155,224,273,279,279,279
367,67,2121,848,1048,1079,1132,1132,1132
368,68,2121,122,196,225,330,330,330
369,69,2121,92,564,595,701,701,701
370,70,2121,148,367,429,508,508,508
371,71,2121,59,136,218,258,258,258
372,72,2121,460,789,814,998,998,998
373,73,2121,312,1137,1197,1228,1228,1228
374,74,2121,129,236,245,654,654,654
375,75,2121,165,231,378,451,451,451
376,76,2121,512,742,794,1159,1159,1159
377,77,2121,85,113,382,525,525,525
378,78,2121,1748,1854,1899,2151,2151,2151
379,79,2121,352,414,707,1075,1075,1075
380,80,2121,63,128,139,192,192,192
381,81,2121,77,105,518,845,845,845
382,82,2121,102,128,627,919,919,919
383,83,2121,94,157,232,310,310,310
384,84,2121,160,737,861,933,933,933
385,85,2121,69,210,265,285,285,285
386,86,2121,211,243,405,793,793,793
387,87,2121,118,996,1011,1257,1257,1257
388,88,2121,62,115,419,717,717,717
389,89,2121,97,395,471,972,972,972
390,90,2121,78,160,320,526,526,526
391,91,2121,105,122,175,215,215,215
392,92,2121,356,507,598,657,657,657
393,93,2121,401,654,729,1149,1149,1149
394,94,2121,39,80,115,456,456,456
395,95,2121,209,809,902,955,955,955
396,96,2121,165,3138,3152,3179,3179,3179
397,97,2121,1150,1484,1678,1941,1941,1941
398,98,2121,642,893,1011,1087,1087,1087
399,99,2121,354,397,416,530,530,530
400,0,2122,52,158,357,566,566,566
401,1,2122,59,198,270,399,399,399
402,2,2122,387,622,728,1124,1124,1124
403,3,2122,209,386,428,572,572,572
404,4,2122,2700,3236,3379,3402,3402,3402
405,5,2122,1052,1235,1425,1647,1647,1647
406,6,2122,2280,2355,2737,2882,2882,2882
407,7,2122,292,619,881,950,950,950
408,8,2122,107,171,180,265,265,265
409,9,2122,925,1080,1493,1668,1668,1668
410,10,2122,122,177,309,415,415,415
411,11,2122,455,792,812,942,942,942
412,12,2122,173,272,314,639,639,639
413,13,2122,293,473,1424,1548,1548,1548
414,14,2122,238,354,370,436,436,436
415,15,2122,112,195,443,653,653,653
416,16,2122,56,216,273,320,320,320
417,17,2122,123,224,345,5376,5376,5376
418,18,2122,96,897,1097,1164,1164,1164
419,19,2122,196,363,367,463,463,463
420,20,2122,113,745,781,840,840,840
421,21,2122,476,781,787,896,896,896
422,22,2122,157,1066,1125,1253,1253,1253
423,23,2122,368,388,523,678,678,678
424,24,2122,109,134,248,359,359,359
425,25,2122,179,208,257,304,304,304
426,26,2122,154,628,699,760,760,760
427,27,2122,166,194,224,926,926,926
428,28,2122,227,336,350,561,561,561
429,29,2122,49,1066,1130,1350,1350,1350
430,30,2122,53,291,299,599,599,599
431,31,2122,57,230,316,436,436,436
432,32,2122,93,420,532,756,756,756
433,33,2122,258,548,669,711,711,711
434,34,2122,176,248,283,352,352,352
435,35,2122,206,349,406,591,591,591
436,36,2122,144,188,347,378,378,378
437,37,2122,254,385,460,561,561,561
438,38,2122,148,183,223,284,284,284
439,39,2122,125,211,286,295,295,295
440,40,2122,38,67,104,132,132,132
441,41,2122,916,1940,2361,3969,3969,3969
442,42,2122,102,145,232,1012,1012,1012
