subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
219231,251,713,893,1018,1328,1471,1578
220721,854,1156,2206,2293,2340,2368,2370
223929,345,570,804,1059,1361,1376,1378
227432,193,1509,1649,1802,1848,1940,1959
227533,243,414,581,905,974,1157,1166
228434,198,416,1037,1166,1202,1488,1491
231928,244,433,672,763,804,960,971
233326,131,190,473,575,685,688,762
236130,157,301,834,1111,1226,1257,1389
237334,236,366,649,883,893,938,944
238033,154,670,866,942,989,1012,1015
239136,273,1279,1427,1516,2265,2919,3053
248339,114,171,521,725,803,897,956
250932,221,449,789,864,887,948,1001
255740,145,247,336,401,584,606,618
256540,427,783,1103,1185,1344,1345,1465
257542,149,222,2309,2415,2559,2623,2664
257845,199,445,598,1035,1064,1070,1155
257946,238,2376,2577,2660,2715,2720,3036
263436,223,1086,1376,1481,1635,1704,1848
268749,184,961,1356,1498,1538,1645,1758
268850,405,508,745,956,1122,1133,1321
270332,126,173,645,823,880,881,1541
274542,246,779,863,1027,1182,1245,1333
275645,121,157,377,457,599,700,706
280739,172,525,999,1071,1136,1629,1660
280941,129,1663,1914,1968,2097,2151,2184
281135,135,177,349,632,689,1014,1020
283543,147,576,785,900,1094,1396,1625
285345,157,379,1074,1223,1347,1559,1567
285446,540,656,1267,1531,1689,1693,2048
286347,592,1032,1265,1343,1447,1513,1545
286650,341,1147,1391,1477,1512,1528,1747
287248,255,1809,2118,2236,2337,2424,2598
289555,283,675,1071,1150,1233,1287,1353
290136,280,558,961,1012,1323,1442,1677
295146,370,903,1165,1348,1472,1578,1699
297655,608,1465,1743,1850,1974,2000,2069
298455,108,163,304,394,620,999,1172
299154,153,198,494,548,678,745,1104
299760,403,1264,1800,1856,1961,2010,2113
300618,545,984,1195,1361,1607,1637,1931
300719,180,521,611,716,885,972,1253
303119,210,2730,4335,4524,4665,4673,4864
303624,209,634,784,890,970,1006,1066
304727,130,285,723,965,987,1030,1340
