Source,Target,Type,Weight
38,12,Undirected,1.361
38,13,Undirected,1.2092
38,16,Undirected,7.0936
38,18,Undirected,0.3564
38,19,Undirected,9.3274
38,20,Undirected,11.734
38,21,Undirected,0.016706
38,23,Undirected,2.2923
38,26,Undirected,0.57329
38,30,Undirected,5.1647
38,35,Undirected,3.2087
38,36,Undirected,2.4917
39,1,Undirected,2.4647
39,5,Undirected,4.2168
39,6,Undirected,5.1478
39,7,Undirected,1.7319
39,8,Undirected,3.0034
39,9,Undirected,2.1395
39,10,Undirected,4.9816
39,11,Undirected,3.5947
39,14,Undirected,5.2929
39,15,Undirected,5.7094
39,16,Undirected,8.0643
39,21,Undirected,4.2106
39,26,Undirected,4.4149
39,28,Undirected,2.0439
39,29,Undirected,1.6082
39,30,Undirected,5.306
39,31,Undirected,3.2455
39,33,Undirected,1.3035
39,34,Undirected,1.619
39,35,Undirected,0.30762
39,38,Undirected,1.9437
40,0,Undirected,0.28975
40,2,Undirected,1.2706
40,3,Undirected,1.4532
40,4,Undirected,1.0133
40,8,Undirected,1.6641
40,9,Undirected,1.173
40,15,Undirected,0.45672
40,16,Undirected,3.0701
40,17,Undirected,0.97755
40,18,Undirected,0.27761
40,20,Undirected,1.0405
40,24,Undirected,2.64
40,25,Undirected,6.9427
40,26,Undirected,3.1854
40,29,Undirected,3.1239
40,31,Undirected,1.382
40,32,Undirected,0.14992
40,34,Undirected,3.0981
40,35,Undirected,3.9178
40,36,Undirected,3.1535
40,38,Undirected,4.2321
40,39,Undirected,0.1579
41,0,Undirected,3.5222
41,1,Undirected,2.852
41,3,Undirected,3.2672
41,5,Undirected,3.9821
41,8,Undirected,0.25279
41,11,Undirected,0.0018292
41,15,Undirected,1.0492
41,18,Undirected,0.41581
41,20,Undirected,1.032
41,21,Undirected,1.4117
41,23,Undirected,2.3917
41,25,Undirected,4.5491
41,31,Undirected,0.94954
41,34,Undirected,7.3461
41,35,Undirected,2.1758
41,36,Undirected,0.78371
41,37,Undirected,1.2836
41,38,Undirected,1.4341
41,39,Undirected,0.11523
41,40,Undirected,9.7184
42,1,Undirected,0.54735
42,4,Undirected,0.65385
42,5,Undirected,0.36389
42,6,Undirected,1.532
42,9,Undirected,2.1511
42,11,Undirected,0.98408
42,16,Undirected,2.6579
42,19,Undirected,9.1256
42,21,Undirected,0.59535
42,23,Undirected,5.1113
42,25,Undirected,6.786
42,26,Undirected,2.1896
42,29,Undirected,4.6797
42,30,Undirected,0.85884
42,31,Undirected,0.1067
42,33,Undirected,7.4113
42,35,Undirected,4.3463
42,36,Undirected,0.39842
42,37,Undirected,1.4528
42,38,Undirected,1.7372
42,39,Undirected,4.828
42,41,Undirected,0.73052
43,7,Undirected,6.0211
43,10,Undirected,5.4248
43,11,Undirected,0.44938
43,13,Undirected,2.6943
