,NG sim,subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
389,0,383,458,1223,1439,1515,1666,1775,1856
390,0,393,135,289,403,597,735,754,855
391,0,391,255,778,959,1011,1337,1346,1409
392,0,394,173,255,369,565,680,814,938
393,0,384,430,1640,1922,2013,2330,2355,2464
394,0,395,334,520,847,1090,1240,1276,1286
395,0,400,318,472,586,655,972,1109,1228
396,0,398,451,815,1179,1200,1498,1553,1587
397,0,392,286,1259,1503,1694,1723,1804,2211
398,0,402,539,609,881,1052,1059,1210,1211
399,0,403,128,278,647,883,1115,1276,1323
400,0,399,123,783,1392,1567,1640,1677,1747
401,0,404,182,267,1165,1278,1373,1392,1574
402,0,396,1248,1324,2039,2167,2229,2233,2305
403,0,405,241,755,881,1181,1282,1469,1539
404,0,397,367,1879,2027,2241,2255,2390,2411
405,0,401,345,1652,1953,2047,2090,2354,2424
406,0,414,131,190,473,575,685,688,762
407,0,406,188,1351,1524,1629,1867,1944,2072
408,0,411,243,414,581,905,974,1157,1166
409,0,413,244,433,672,763,804,960,971
410,0,407,251,713,893,1018,1328,1471,1578
411,0,409,345,570,804,1059,1361,1376,1378
412,0,416,236,366,649,883,893,938,944
413,0,412,198,416,1037,1166,1202,1488,1491
414,0,415,157,301,834,1111,1226,1257,1389
415,0,421,145,247,336,401,584,606,618
416,0,410,193,1509,1649,1802,1848,1940,1959
417,0,419,114,171,521,725,803,897,956
418,0,417,154,670,866,942,989,1012,1015
419,0,408,854,1156,2206,2293,2340,2368,2370
420,0,420,221,449,789,864,887,948,1001
421,0,424,199,445,598,1035,1064,1070,1155
422,0,422,427,783,1103,1185,1344,1345,1465
423,0,431,121,157,377,457,599,700,706
424,0,428,405,508,745,956,1122,1133,1321
425,0,430,246,779,863,1027,1182,1245,1333
426,0,427,184,961,1356,1498,1538,1645,1758
427,0,426,223,1086,1376,1481,1635,1704,1848
428,0,429,126,173,645,823,880,881,1541
429,0,432,172,525,999,1071,1136,1629,1660
430,0,434,135,177,349,632,689,1014,1020
431,0,423,149,222,2309,2415,2559,2623,2664
